14 // Number of waterlines
53 // Number of stations
1 // Read deckline
1 // Read contour
1 // Read aft contour
1 // Read forward contour
0 // Read flat of bottom
120,700 // Length
19,000 // Beam
7,500 // Draft
         1,000    2,000    3,000    4,000    5,000    6,000    7,000    8,000    9,000    10,000   11,000   12,000   13,000   14,000  
         8,533    5,866    4,833    6,103    5,920    2,463    -1,948   -4,111   -4,271   -4,420   -4,574   -4,735   -4,900   -5,064  
-5,0000  0,0000   0,0000   0,0000   0,0000   0,0000   0,0000   0,0000   0,0000   0,0000   0,0000   0,0000   0,0000   0,0000   8,0263   15,000   8,070    13,608  
-2,5000  0,0000   0,0000   0,0000   0,0000   0,0000   0,0000   0,0000   4,8837   6,7820   7,7154   8,2131   8,4628   8,6037   8,6412   15,000   8,670    7,133   
0,0000   0,0000   0,0000   0,0000   0,0000   0,0000   0,0000   3,9408   6,6454   7,8556   8,5115   8,8432   8,9840   9,0449   9,0630   15,000   9,081    6,558   
2,5000   0,0000   0,0000   0,0000   0,0000   0,0000   0,1811   5,9355   7,6337   8,5150   8,9979   9,2111   9,3043   9,3246   9,3358   15,000   9,347    5,991   
5,0000   0,0000   0,0000   0,0694   0,0000   0,0000   4,5869   7,1964   8,3340   8,9696   9,2840   9,4101   9,4412   9,4477   9,4542   15,000   9,461    2,527   
7,5000   0,0000   0,8017   0,6997   0,3840   1,9829   6,4727   8,0127   8,7943   9,2299   9,4188   9,4785   9,4819   9,4854   9,4888   15,000   9,492    1,339   
10,0000  0,8014   1,2941   1,1362   1,3100   5,2214   7,5190   8,5323   9,0739   9,3621   9,4784   9,4936   9,4951   9,4965   9,4980   15,000   9,499    0,585   
12,5000  1,3476   1,7204   1,8364   3,2650   6,8128   8,1812   8,8727   9,2537   9,4388   9,4981   9,4985   9,4989   9,4993   9,4996   15,000   9,500    0,087   
15,0000  1,8553   2,3279   2,9310   5,6973   7,7016   8,6241   9,1101   9,3784   9,4873   9,4998   9,4998   9,4999   9,4999   9,5000   15,000   9,500    0,000   
17,5000  2,4459   3,0993   4,3392   7,0509   8,2969   8,9381   9,2876   9,4598   9,5000   9,5000   9,5000   9,5000   9,5000   9,5000   15,000   9,500    0,000   
20,0000  3,0825   3,9912   5,9447   7,8599   8,7199   9,1748   9,4172   9,5000   9,5000   9,5000   9,5000   9,5000   9,5000   9,5000   15,000   9,500    0,000   
22,5000  3,7486   4,9801   7,1381   8,4192   9,0299   9,3504   9,4856   9,5000   9,5000   9,5000   9,5000   9,5000   9,5000   9,5000   15,000   9,500    0,000   
25,0000  4,4343   6,0157   7,9137   8,8147   9,2543   9,4590   9,5000   9,5000   9,5000   9,5000   9,5000   9,5000   9,5000   9,5000   15,000   9,500    0,000   
27,5000  5,1358   6,9549   8,4326   9,1017   9,4047   9,4996   9,5000   9,5000   9,5000   9,5000   9,5000   9,5000   9,5000   9,5000   15,000   9,500    0,000   
30,0000  5,8513   7,6934   8,8156   9,3055   9,4805   9,5000   9,5000   9,5000   9,5000   9,5000   9,5000   9,5000   9,5000   9,5000   15,000   9,500    0,000   
32,5000  6,5620   8,2384   9,1071   9,4319   9,5000   9,5000   9,5000   9,5000   9,5000   9,5000   9,5000   9,5000   9,5000   9,5000   15,000   9,500    0,000   
35,0000  7,2224   8,6448   9,3030   9,4885   9,5000   9,5000   9,5000   9,5000   9,5000   9,5000   9,5000   9,5000   9,5000   9,5000   15,000   9,500    0,000   
37,5000  7,7811   8,9409   9,4129   9,5000   9,5000   9,5000   9,5000   9,5000   9,5000   9,5000   9,5000   9,5000   9,5000   9,5000   15,000   9,500    0,000   
